origin,destination,lat origin,long origin,lat destination,long destination
Tirana,Porto,41.3268733,19.8187913,41.1494512,-8.6107884
Tirana,Bucharest,41.3268733,19.8187913,44.4361414,26.1027202
Tirana,Cluj-Napoca,41.3268733,19.8187913,46.769379,23.5899542
Tirana,Iasi,41.3268733,19.8187913,47.1615341,27.5836142
Tirana,Belgrade,41.3268733,19.8187913,44.8178131,20.4568974
Tirana,Bratislava,41.3268733,19.8187913,48.1516988,17.1093063
Tirana,Kosice,41.3268733,19.8187913,48.7172272,21.2496774
Tirana,Ljubljana,41.3268733,19.8187913,46.0499803,14.5068602
Tirana,Barcelona,41.3268733,19.8187913,41.3828939,2.1774322
Tirana,Bilbao,41.3268733,19.8187913,43.2630051,-2.9349915
Tirana,Madrid,41.3268733,19.8187913,40.4167047,-3.7035825
Tirana,Sevilla,41.3268733,19.8187913,37.3886303,-5.9953403
Tirana,Valencia,41.3268733,19.8187913,39.466667,-0.375
Tirana,Zaragoza,41.3268733,19.8187913,41.6521342,-0.8809428
Tirana,Goteborg,41.3268733,19.8187913,57.7072326,11.9670171
Tirana,Stockholm,41.3268733,19.8187913,59.3251172,18.0710935
Tirana,Basel,41.3268733,19.8187913,47.5581077,7.5878261
Tirana,Geneva,41.3268733,19.8187913,46.2017559,6.1466014
Tirana,Zurich,41.3268733,19.8187913,47.3723941,8.5423328
Tirana,Amsterdam,41.3268733,19.8187913,52.3745403,4.897975506
Tirana,Eindhoven,41.3268733,19.8187913,51.44855695,5.450122522
Tirana,Rotterdam,41.3268733,19.8187913,51.9228958,4.4631727
Tirana,Utrecht,41.3268733,19.8187913,52.0949753,5.109708
Tirana,Birmingham,41.3268733,19.8187913,52.4796992,-1.9026911
Tirana,Edinburgh,41.3268733,19.8187913,55.9533456,-3.1883749
Tirana,Glasgow,41.3268733,19.8187913,55.8609825,-4.2488787
Tirana,Leeds,41.3268733,19.8187913,53.7974185,-1.5437941
Tirana,Liverpool,41.3268733,19.8187913,53.407154,-2.991665
Tirana,London,41.3268733,19.8187913,51.5073219,-0.1276474
Tirana,Manchester,41.3268733,19.8187913,53.4794892,-2.2451148
Tirana,Newcastle Upon Tyne,41.3268733,19.8187913,54.9738474,-1.6131572
Linz,Tirana,48.3059078,14.286198,41.3268733,19.8187913
Linz,Linz,48.3059078,14.286198,48.3059078,14.286198
Linz,Vienna,48.3059078,14.286198,48.2083537,16.3725042
Linz,Antwerpen,48.3059078,14.286198,51.2211097,4.3997081
Linz,Brussels,48.3059078,14.286198,50.8465573,4.351697
Linz,Gent,48.3059078,14.286198,51.0538286,3.7250121
Linz,Liege,48.3059078,14.286198,50.6451381,5.5734203
Linz,Sarajevo,48.3059078,14.286198,43.8519774,18.3866868
Linz,Sofia,48.3059078,14.286198,42.6978634,23.3221789
Linz,Zagreb,48.3059078,14.286198,45.813177,15.977048
Linz,Brno,48.3059078,14.286198,49.1922443,16.6113382
Linz,Prague,48.3059078,14.286198,50.0874654,14.4212535
Linz,Arhus,48.3059078,14.286198,56.1496278,10.2134046
Linz,Copenhagen,48.3059078,14.286198,55.6867243,12.5700724
Linz,Tallinn,48.3059078,14.286198,59.4372155,24.7453688
Linz,Helsinki,48.3059078,14.286198,60.1674098,24.9425769
Linz,Bordeaux,48.3059078,14.286198,44.841225,-0.5800364
Linz,Grenoble,48.3059078,14.286198,45.1875602,5.7357819
Linz,Lille,48.3059078,14.286198,50.6365654,3.0635282
Linz,Lyon,48.3059078,14.286198,45.7578137,4.8320114
Linz,Marseille,48.3059078,14.286198,43.2961743,5.3699525
Linz,Montpellier,48.3059078,14.286198,43.6112422,3.8767337
Linz,Nantes,48.3059078,14.286198,47.2186371,-1.5541362
Linz,Nice,48.3059078,14.286198,43.7009358,7.2683912
Linz,Paris,48.3059078,14.286198,48.8566969,2.3514616
Linz,Rennes,48.3059078,14.286198,48.1113387,-1.6800198
Linz,Strasbourg,48.3059078,14.286198,48.584614,7.7507127
Linz,Toulon,48.3059078,14.286198,43.1257311,5.9304919
Linz,Toulouse,48.3059078,14.286198,43.6044622,1.4442469
Linz,Aachen,48.3059078,14.286198,50.776351,6.083862
Linz,Berlin,48.3059078,14.286198,52.5170365,13.3888599
Linz,Bremen,48.3059078,14.286198,53.0758196,8.8071646
Linz,Dresden,48.3059078,14.286198,51.0493286,13.7381437
Linz,Dusseldorf,48.3059078,14.286198,51.2254018,6.7763137
Linz,Frankfurt Am Main,48.3059078,14.286198,50.1106444,8.6820917
Linz,Hamburg,48.3059078,14.286198,53.543766,10.009915
Linz,Hannover,48.3059078,14.286198,52.379097,9.742982
Linz,Karlsruhe,48.3059078,14.286198,49.0068725,8.403475
Linz,Kiel,48.3059078,14.286198,54.3227085,10.135555
Linz,Cologne,48.3059078,14.286198,50.938361,6.959974
Linz,Leipzig,48.3059078,14.286198,51.3406321,12.3747329
Linz,Mannheim,48.3059078,14.286198,49.489591,8.467236
Linz,Munich,48.3059078,14.286198,48.1371079,11.5753822
Linz,Ruhrgebiet (Essen),48.3059078,14.286198,51.4118742,7.025698
Linz,Saarbrucken,48.3059078,14.286198,49.234362,6.996379
Linz,Stuttgart,48.3059078,14.286198,48.7784485,9.1800132
Linz,Athens,48.3059078,14.286198,37.9839412,23.7283052
Linz,Thessaloniki,48.3059078,14.286198,40.6403167,22.9352716
Linz,Budapest,48.3059078,14.286198,47.4983815,19.0404707
Linz,Bari,48.3059078,14.286198,41.1257843,16.8620293
Linz,Bologna,48.3059078,14.286198,44.4936714,11.3430347
Linz,Brescia,48.3059078,14.286198,45.539841,10.22296
Linz,Catania,48.3059078,14.286198,37.5022355,15.08738
Linz,Florence,48.3059078,14.286198,43.7698712,11.2555757
Linz,Genoa,48.3059078,14.286198,44.40726,8.9338624
Linz,Milano,48.3059078,14.286198,45.4668,9.1905
Linz,Napoli,48.3059078,14.286198,40.8359336,14.2487826
Linz,Palermo,48.3059078,14.286198,38.1112268,13.3524434
Linz,Rome,48.3059078,14.286198,41.8933203,12.4829321
Linz,Turin,48.3059078,14.286198,45.0677551,7.6824892
Linz,Venice,48.3059078,14.286198,45.43876,12.327145
Linz,Verona,48.3059078,14.286198,45.4384958,10.9924122
Linz,Pristina,48.3059078,14.286198,42.6638771,21.1640849
Linz,Riga,48.3059078,14.286198,56.9493977,24.1051846
Linz,Vilnius,48.3059078,14.286198,54.68199155,25.25625728
Linz,Luxembourg,48.3059078,14.286198,49.8158683,6.1296751
Linz,Skopje,48.3059078,14.286198,41.9960924,21.4316495
Linz,Chisinau,48.3059078,14.286198,47.0244707,28.8322534
Linz,Podgorica,48.3059078,14.286198,42.4415238,19.2621081
Linz,Bergen,48.3059078,14.286198,60.3943055,5.3259192
Linz,Oslo,48.3059078,14.286198,59.9133301,10.7389701
Linz,Gdansk,48.3059078,14.286198,54.347629,18.6452324
Linz,Katowice,48.3059078,14.286198,50.2598987,19.0215852
Linz,Krakow,48.3059078,14.286198,50.0619474,19.9368564
Linz,Lodz,48.3059078,14.286198,51.7687323,19.4569911
Linz,Lublin,48.3059078,14.286198,51.2181945,22.55467757
Linz,Poznan,48.3059078,14.286198,52.40063215,16.91978694
Linz,Rzeszow,48.3059078,14.286198,50.00715125,22.00991153
Linz,Warsaw,48.3059078,14.286198,52.2319581,21.0067249
Linz,Wroclaw,48.3059078,14.286198,51.1263106,16.97819633
Linz,Lisbon,48.3059078,14.286198,38.7077507,-9.1365919
Linz,Porto,48.3059078,14.286198,41.1494512,-8.6107884
Linz,Bucharest,48.3059078,14.286198,44.4361414,26.1027202
Linz,Cluj-Napoca,48.3059078,14.286198,46.769379,23.5899542
Linz,Iasi,48.3059078,14.286198,47.1615341,27.5836142
Linz,Belgrade,48.3059078,14.286198,44.8178131,20.4568974
Linz,Bratislava,48.3059078,14.286198,48.1516988,17.1093063
Linz,Kosice,48.3059078,14.286198,48.7172272,21.2496774
Linz,Ljubljana,48.3059078,14.286198,46.0499803,14.5068602
Linz,Barcelona,48.3059078,14.286198,41.3828939,2.1774322
Linz,Bilbao,48.3059078,14.286198,43.2630051,-2.9349915
Linz,Madrid,48.3059078,14.286198,40.4167047,-3.7035825
Linz,Sevilla,48.3059078,14.286198,37.3886303,-5.9953403
Linz,Valencia,48.3059078,14.286198,39.466667,-0.375
Linz,Zaragoza,48.3059078,14.286198,41.6521342,-0.8809428
Linz,Goteborg,48.3059078,14.286198,57.7072326,11.9670171
Linz,Stockholm,48.3059078,14.286198,59.3251172,18.0710935
Linz,Basel,48.3059078,14.286198,47.5581077,7.5878261
Linz,Geneva,48.3059078,14.286198,46.2017559,6.1466014
Linz,Zurich,48.3059078,14.286198,47.3723941,8.5423328
Linz,Amsterdam,48.3059078,14.286198,52.3745403,4.897975506
Linz,Eindhoven,48.3059078,14.286198,51.44855695,5.450122522
Linz,Rotterdam,48.3059078,14.286198,51.9228958,4.4631727
Linz,Utrecht,48.3059078,14.286198,52.0949753,5.109708
Linz,Birmingham,48.3059078,14.286198,52.4796992,-1.9026911
Linz,Edinburgh,48.3059078,14.286198,55.9533456,-3.1883749
Linz,Glasgow,48.3059078,14.286198,55.8609825,-4.2488787
Linz,Leeds,48.3059078,14.286198,53.7974185,-1.5437941
Linz,Liverpool,48.3059078,14.286198,53.407154,-2.991665
Linz,London,48.3059078,14.286198,51.5073219,-0.1276474
Linz,Manchester,48.3059078,14.286198,53.4794892,-2.2451148
Linz,Newcastle Upon Tyne,48.3059078,14.286198,54.9738474,-1.6131572
Vienna,Tirana,48.2083537,16.3725042,41.3268733,19.8187913
Vienna,Linz,48.2083537,16.3725042,48.3059078,14.286198
Vienna,Vienna,48.2083537,16.3725042,48.2083537,16.3725042
Vienna,Antwerpen,48.2083537,16.3725042,51.2211097,4.3997081
Vienna,Brussels,48.2083537,16.3725042,50.8465573,4.351697
Vienna,Gent,48.2083537,16.3725042,51.0538286,3.7250121
Vienna,Liege,48.2083537,16.3725042,50.6451381,5.5734203
Vienna,Sarajevo,48.2083537,16.3725042,43.8519774,18.3866868
Vienna,Sofia,48.2083537,16.3725042,42.6978634,23.3221789
Vienna,Zagreb,48.2083537,16.3725042,45.813177,15.977048
Vienna,Brno,48.2083537,16.3725042,49.1922443,16.6113382
Vienna,Prague,48.2083537,16.3725042,50.0874654,14.4212535
Vienna,Arhus,48.2083537,16.3725042,56.1496278,10.2134046
Vienna,Copenhagen,48.2083537,16.3725042,55.6867243,12.5700724
Vienna,Tallinn,48.2083537,16.3725042,59.4372155,24.7453688
Vienna,Helsinki,48.2083537,16.3725042,60.1674098,24.9425769
Vienna,Bordeaux,48.2083537,16.3725042,44.841225,-0.5800364
Vienna,Grenoble,48.2083537,16.3725042,45.1875602,5.7357819
Vienna,Lille,48.2083537,16.3725042,50.6365654,3.0635282
Vienna,Lyon,48.2083537,16.3725042,45.7578137,4.8320114
Vienna,Marseille,48.2083537,16.3725042,43.2961743,5.3699525
Vienna,Montpellier,48.2083537,16.3725042,43.6112422,3.8767337
Vienna,Nantes,48.2083537,16.3725042,47.2186371,-1.5541362
Vienna,Nice,48.2083537,16.3725042,43.7009358,7.2683912
Vienna,Paris,48.2083537,16.3725042,48.8566969,2.3514616
Vienna,Rennes,48.2083537,16.3725042,48.1113387,-1.6800198
Vienna,Strasbourg,48.2083537,16.3725042,48.584614,7.7507127
Vienna,Toulon,48.2083537,16.3725042,43.1257311,5.9304919
Vienna,Toulouse,48.2083537,16.3725042,43.6044622,1.4442469
Vienna,Aachen,48.2083537,16.3725042,50.776351,6.083862
Vienna,Berlin,48.2083537,16.3725042,52.5170365,13.3888599
Vienna,Bremen,48.2083537,16.3725042,53.0758196,8.8071646
Vienna,Dresden,48.2083537,16.3725042,51.0493286,13.7381437
Vienna,Dusseldorf,48.2083537,16.3725042,51.2254018,6.7763137
Vienna,Frankfurt Am Main,48.2083537,16.3725042,50.1106444,8.6820917
Vienna,Hamburg,48.2083537,16.3725042,53.543766,10.009915
Vienna,Hannover,48.2083537,16.3725042,52.379097,9.742982
Vienna,Karlsruhe,48.2083537,16.3725042,49.0068725,8.403475
Vienna,Kiel,48.2083537,16.3725042,54.3227085,10.135555
Vienna,Cologne,48.2083537,16.3725042,50.938361,6.959974
Vienna,Leipzig,48.2083537,16.3725042,51.3406321,12.3747329
Vienna,Mannheim,48.2083537,16.3725042,49.489591,8.467236
Vienna,Munich,48.2083537,16.3725042,48.1371079,11.5753822
Vienna,Ruhrgebiet (Essen),48.2083537,16.3725042,51.4118742,7.025698
Vienna,Saarbrucken,48.2083537,16.3725042,49.234362,6.996379
Vienna,Stuttgart,48.2083537,16.3725042,48.7784485,9.1800132
Vienna,Athens,48.2083537,16.3725042,37.9839412,23.7283052
Vienna,Thessaloniki,48.2083537,16.3725042,40.6403167,22.9352716
Vienna,Budapest,48.2083537,16.3725042,47.4983815,19.0404707
Vienna,Bari,48.2083537,16.3725042,41.1257843,16.8620293
Vienna,Bologna,48.2083537,16.3725042,44.4936714,11.3430347
Vienna,Brescia,48.2083537,16.3725042,45.539841,10.22296
Vienna,Catania,48.2083537,16.3725042,37.5022355,15.08738
Vienna,Florence,48.2083537,16.3725042,43.7698712,11.2555757
Vienna,Genoa,48.2083537,16.3725042,44.40726,8.9338624
Vienna,Milano,48.2083537,16.3725042,45.4668,9.1905
Vienna,Napoli,48.2083537,16.3725042,40.8359336,14.2487826
Vienna,Palermo,48.2083537,16.3725042,38.1112268,13.3524434
Vienna,Rome,48.2083537,16.3725042,41.8933203,12.4829321
Vienna,Turin,48.2083537,16.3725042,45.0677551,7.6824892
Vienna,Venice,48.2083537,16.3725042,45.43876,12.327145
Vienna,Verona,48.2083537,16.3725042,45.4384958,10.9924122
Vienna,Pristina,48.2083537,16.3725042,42.6638771,21.1640849
Vienna,Riga,48.2083537,16.3725042,56.9493977,24.1051846
Vienna,Vilnius,48.2083537,16.3725042,54.68199155,25.25625728
Vienna,Luxembourg,48.2083537,16.3725042,49.8158683,6.1296751
Vienna,Skopje,48.2083537,16.3725042,41.9960924,21.4316495
Vienna,Chisinau,48.2083537,16.3725042,47.0244707,28.8322534
Vienna,Podgorica,48.2083537,16.3725042,42.4415238,19.2621081
Vienna,Bergen,48.2083537,16.3725042,60.3943055,5.3259192
Vienna,Oslo,48.2083537,16.3725042,59.9133301,10.7389701
Vienna,Gdansk,48.2083537,16.3725042,54.347629,18.6452324
Vienna,Katowice,48.2083537,16.3725042,50.2598987,19.0215852
Vienna,Krakow,48.2083537,16.3725042,50.0619474,19.9368564
Vienna,Lodz,48.2083537,16.3725042,51.7687323,19.4569911
Vienna,Lublin,48.2083537,16.3725042,51.2181945,22.55467757
Vienna,Poznan,48.2083537,16.3725042,52.40063215,16.91978694
Vienna,Rzeszow,48.2083537,16.3725042,50.00715125,22.00991153
Vienna,Warsaw,48.2083537,16.3725042,52.2319581,21.0067249
Vienna,Wroclaw,48.2083537,16.3725042,51.1263106,16.97819633
Vienna,Lisbon,48.2083537,16.3725042,38.7077507,-9.1365919
Vienna,Porto,48.2083537,16.3725042,41.1494512,-8.6107884
Vienna,Bucharest,48.2083537,16.3725042,44.4361414,26.1027202
Vienna,Cluj-Napoca,48.2083537,16.3725042,46.769379,23.5899542
Vienna,Iasi,48.2083537,16.3725042,47.1615341,27.5836142
Vienna,Belgrade,48.2083537,16.3725042,44.8178131,20.4568974
Vienna,Bratislava,48.2083537,16.3725042,48.1516988,17.1093063
Vienna,Kosice,48.2083537,16.3725042,48.7172272,21.2496774
Vienna,Ljubljana,48.2083537,16.3725042,46.0499803,14.5068602
Vienna,Barcelona,48.2083537,16.3725042,41.3828939,2.1774322
Vienna,Bilbao,48.2083537,16.3725042,43.2630051,-2.9349915
Vienna,Madrid,48.2083537,16.3725042,40.4167047,-3.7035825
Vienna,Sevilla,48.2083537,16.3725042,37.3886303,-5.9953403
Vienna,Valencia,48.2083537,16.3725042,39.466667,-0.375
Vienna,Zaragoza,48.2083537,16.3725042,41.6521342,-0.8809428
Vienna,Goteborg,48.2083537,16.3725042,57.7072326,11.9670171
Vienna,Stockholm,48.2083537,16.3725042,59.3251172,18.0710935
Vienna,Basel,48.2083537,16.3725042,47.5581077,7.5878261
Vienna,Geneva,48.2083537,16.3725042,46.2017559,6.1466014
Vienna,Zurich,48.2083537,16.3725042,47.3723941,8.5423328
Vienna,Amsterdam,48.2083537,16.3725042,52.3745403,4.897975506
Vienna,Eindhoven,48.2083537,16.3725042,51.44855695,5.450122522
Vienna,Rotterdam,48.2083537,16.3725042,51.9228958,4.4631727
Vienna,Utrecht,48.2083537,16.3725042,52.0949753,5.109708
Vienna,Birmingham,48.2083537,16.3725042,52.4796992,-1.9026911
Vienna,Edinburgh,48.2083537,16.3725042,55.9533456,-3.1883749
Vienna,Glasgow,48.2083537,16.3725042,55.8609825,-4.2488787
Vienna,Leeds,48.2083537,16.3725042,53.7974185,-1.5437941
Vienna,Liverpool,48.2083537,16.3725042,53.407154,-2.991665
Vienna,London,48.2083537,16.3725042,51.5073219,-0.1276474
Vienna,Manchester,48.2083537,16.3725042,53.4794892,-2.2451148
Vienna,Newcastle Upon Tyne,48.2083537,16.3725042,54.9738474,-1.6131572
Antwerpen,Tirana,51.2211097,4.3997081,41.3268733,19.8187913
Antwerpen,Linz,51.2211097,4.3997081,48.3059078,14.286198
Antwerpen,Vienna,51.2211097,4.3997081,48.2083537,16.3725042
Antwerpen,Antwerpen,51.2211097,4.3997081,51.2211097,4.3997081
Antwerpen,Brussels,51.2211097,4.3997081,50.8465573,4.351697
Antwerpen,Gent,51.2211097,4.3997081,51.0538286,3.7250121
Antwerpen,Liege,51.2211097,4.3997081,50.6451381,5.5734203
Antwerpen,Sarajevo,51.2211097,4.3997081,43.8519774,18.3866868
Antwerpen,Sofia,51.2211097,4.3997081,42.6978634,23.3221789
Antwerpen,Zagreb,51.2211097,4.3997081,45.813177,15.977048
Antwerpen,Brno,51.2211097,4.3997081,49.1922443,16.6113382
Antwerpen,Prague,51.2211097,4.3997081,50.0874654,14.4212535
Antwerpen,Arhus,51.2211097,4.3997081,56.1496278,10.2134046
Antwerpen,Copenhagen,51.2211097,4.3997081,55.6867243,12.5700724
Antwerpen,Tallinn,51.2211097,4.3997081,59.4372155,24.7453688
Antwerpen,Helsinki,51.2211097,4.3997081,60.1674098,24.9425769
Antwerpen,Bordeaux,51.2211097,4.3997081,44.841225,-0.5800364
Antwerpen,Grenoble,51.2211097,4.3997081,45.1875602,5.7357819
Antwerpen,Lille,51.2211097,4.3997081,50.6365654,3.0635282
Antwerpen,Lyon,51.2211097,4.3997081,45.7578137,4.8320114
Antwerpen,Marseille,51.2211097,4.3997081,43.2961743,5.3699525
