lat origin airport,long origin airport,lat destination airport,long destination airport,origin airport,destination airport
41.41843843,19.71341944,46.93400226,28.93338427,tirana-international-airport-nene-tereza,chisinau-international
41.41843843,19.71341944,42.36780184,19.25169196,tirana-international-airport-nene-tereza,podgorica
41.41843843,19.71341944,60.29220631,5.221732401,tirana-international-airport-nene-tereza,bergen-airport
41.41843843,19.71341944,60.19501032,11.09753062,tirana-international-airport-nene-tereza,oslo-airport
41.41843843,19.71341944,54.37948335,18.46623417,tirana-international-airport-nene-tereza,gdansk-lech-walesa
41.41843843,19.71341944,50.47535479,19.07546669,tirana-international-airport-nene-tereza,katowice-international
41.41843843,19.71341944,50.07758305,19.78674673,tirana-international-airport-nene-tereza,john-paul-ii-international-airport-krakow-balice
41.41843843,19.71341944,51.72084301,19.39494274,tirana-international-airport-nene-tereza,lodz-wladyslaw-reymont
41.41843843,19.71341944,51.23719306,22.71265524,tirana-international-airport-nene-tereza,lublin
41.41843843,19.71341944,52.42056505,16.82793865,tirana-international-airport-nene-tereza,poznan-lawica
41.41843843,19.71341944,50.11424137,22.02400823,tirana-international-airport-nene-tereza,rzeszow-jasionka
41.41843843,19.71341944,52.16751858,20.96607839,tirana-international-airport-nene-tereza,warsaw-chopin
41.41843843,19.71341944,51.10611032,16.87907565,tirana-international-airport-nene-tereza,copernicus-airport-wroclaw
41.41843843,19.71341944,38.77652215,-9.137324464,tirana-international-airport-nene-tereza,lisbon-portela
41.41843843,19.71341944,41.24167551,-8.679150062,tirana-international-airport-nene-tereza,porto
41.41843843,19.71341944,44.57036759,26.08592959,tirana-international-airport-nene-tereza,henri-coanda-international
41.41843843,19.71341944,46.78336758,23.68672898,tirana-international-airport-nene-tereza,cluj-international-cluj
41.41843843,19.71341944,47.17686421,27.61872184,tirana-international-airport-nene-tereza,iasi-international
41.41843843,19.71341944,44.82173163,20.29111599,tirana-international-airport-nene-tereza,belgrade-nikola-tesla
41.41843843,19.71341944,48.17112892,17.2106461,tirana-international-airport-nene-tereza,bratislava
41.41843843,19.71341944,48.67297651,21.23829483,tirana-international-airport-nene-tereza,kosice-international
41.41843843,19.71341944,46.2274106,14.45189459,tirana-international-airport-nene-tereza,ljubljana-joze-pucnik
41.41843843,19.71341944,41.29898632,2.083383804,tirana-international-airport-nene-tereza,barcelona-el-prat
41.41843843,19.71341944,43.30302036,-2.907000521,tirana-international-airport-nene-tereza,bilbao
41.41843843,19.71341944,40.49882187,-3.568455978,tirana-international-airport-nene-tereza,adolfo-suarez-madrid-barajas
41.41843843,19.71341944,37.419886,-5.894691156,tirana-international-airport-nene-tereza,seville
41.41843843,19.71341944,39.48950604,-0.480022024,tirana-international-airport-nene-tereza,valencia
41.41843843,19.71341944,41.66557509,-1.050087204,tirana-international-airport-nene-tereza,zaragoza
41.41843843,19.71341944,57.67140854,12.28730406,tirana-international-airport-nene-tereza,goteborg-landvetter
41.41843843,19.71341944,59.65012578,17.92282716,tirana-international-airport-nene-tereza,stockholm-arlanda
41.41843843,19.71341944,47.59801059,7.523736116,tirana-international-airport-nene-tereza,euroairport-basel-mulhouse-freiburg
41.41843843,19.71341944,46.23690511,6.10824207,tirana-international-airport-nene-tereza,geneva
41.41843843,19.71341944,47.46144231,8.552618604,tirana-international-airport-nene-tereza,zurich
41.41843843,19.71341944,52.31962357,4.739179704,tirana-international-airport-nene-tereza,amsterdam-airport-schiphol
41.41843843,19.71341944,51.45791473,5.390808879,tirana-international-airport-nene-tereza,eindhoven
41.41843843,19.71341944,51.95672767,4.439722684,tirana-international-airport-nene-tereza,rotterdam-the-hague
41.41843843,19.71341944,52.31962357,4.739179704,tirana-international-airport-nene-tereza,amsterdam-airport-schiphol
41.41843843,19.71341944,52.45193167,-1.744244238,tirana-international-airport-nene-tereza,birmingham
41.41843843,19.71341944,55.95122361,-3.363094563,tirana-international-airport-nene-tereza,edinburgh
41.41843843,19.71341944,55.86912858,-4.435405793,tirana-international-airport-nene-tereza,glasgow
41.41843843,19.71341944,53.86758182,-1.661159299,tirana-international-airport-nene-tereza,leeds-bradford
41.41843843,19.71341944,53.33553879,-2.853859333,tirana-international-airport-nene-tereza,liverpool-john-lennon
41.41843843,19.71341944,51.87599958,-0.370309411,tirana-international-airport-nene-tereza,luton
41.41843843,19.71341944,53.33553879,-2.853859333,tirana-international-airport-nene-tereza,liverpool-john-lennon
41.41843843,19.71341944,55.03825989,-1.690185611,tirana-international-airport-nene-tereza,newcastle
48.23964126,14.19116693,41.41843843,19.71341944,linz,tirana-international-airport-nene-tereza
0,0,0,0,0,0
48.23964126,14.19116693,48.11243339,16.57483798,linz,vienna-international
48.23964126,14.19116693,50.90207279,4.482947232,linz,brussels
48.23964126,14.19116693,50.90207279,4.482947232,linz,brussels
48.23964126,14.19116693,50.90207279,4.482947232,linz,brussels
48.23964126,14.19116693,50.90207279,4.482947232,linz,brussels
48.23964126,14.19116693,43.82622396,18.33687115,linz,sarajevo-international
48.23964126,14.19116693,42.68883587,23.41475799,linz,sofia
48.23964126,14.19116693,45.74078032,16.06633153,linz,zagreb
48.23964126,14.19116693,49.1522874,16.6928681,linz,brno-turany
48.23964126,14.19116693,50.10266879,14.26200554,linz,vaclav-havel-airport-prague
48.23964126,14.19116693,56.30736937,10.62742741,linz,aarhus
48.23964126,14.19116693,55.61218241,12.64594781,linz,copenhagen
48.23964126,14.19116693,59.41396371,24.82100989,linz,tallinn
48.23964126,14.19116693,60.31789256,24.94980032,linz,helsinki
48.23964126,14.19116693,44.82954442,-0.713848719,linz,bordeaux-merignac
